x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.0126178, -0.125026, 1.00834, -0.062971, 0.000365557, 0.295379, 0.302017, 1436.22, 977.791
0.0123782, -0.125227, 1.00793, -0.0628488, -8.91608e-05, 0.303174, 0.30962, 1285.5, 991.926
-0.0247643, -0.124858, 1.03019, -0.0697807, 0.000767477, 0.29159, 0.299825, 1348.8, 899.583
-0.0254684, -0.124993, 0.986892, -0.0562842, 0.000418397, 0.291372, 0.296758, 1293.36, 1078.85
0.06237, -0.12563, 1.00713, -0.0626044, -0.000998596, 0.318765, 0.324856, 996.468, 917.769
0.0456067, -0.125339, 1.05561, -0.0777163, -0.000290739, 0.313535, 0.323024, 975.992, 522.08
0.001601, -0.124901, 1.08198, -0.0859291, 0.000724188, 0.299811, 0.311883, 937.867, 437.933
-0.0490574, -0.124522, 1.07389, -0.0834002, 0.00157132, 0.284013, 0.296009, 1113.64, 312.565
-0.0826663, -0.124378, 1.03513, -0.0713127, 0.00185429, 0.273533, 0.282682, 1109.74, 623.925
-0.0835005, -0.124538, 0.983833, -0.0553223, 0.00144071, 0.273274, 0.278821, 944.534, 1020.82
-0.0511698, -0.124926, 0.944003, -0.0429105, 0.000524077, 0.283358, 0.286589, 1007.31, 1402.72
-0.000801182, -0.125361, 0.934273, -0.0398848, -0.000466721, 0.299066, 0.301714, 984.83, 1456.94
0.0440386, -0.125639, 0.959197, -0.0476607, -0.00106811, 0.313049, 0.316658, 943.042, 1233.72
-0.0122174, -0.0750278, 1.00817, -0.0620177, 0.000356974, 0.295086, 0.301533, 1592.67, 1491.48
0.0127785, -0.0752293, 1.00777, -0.0618955, -9.77438e-05, 0.302881, 0.309141, 1406.9, 1498.89
-0.0243639, -0.0748598, 1.03002, -0.0688274, 0.000758894, 0.291297, 0.299319, 1426.21, 1091.24
-0.0250681, -0.0749944, 0.98673, -0.0553309, 0.000409814, 0.291079, 0.296291, 1406.39, 277.626
0.0627704, -0.0756323, 1.00696, -0.0616511, -0.00100718, 0.318472, 0.324386, 1015.22, 891.087
0.0460071, -0.075341, 1.05545, -0.076763, -0.000299322, 0.313242, 0.322511, 1010.22, 479.119
0.00200138, -0.0749032, 1.08181, -0.0849758, 0.000715605, 0.299518, 0.31134, 917.292, 462.547
-0.048657, -0.0745237, 1.07372, -0.0824469, 0.00156273, 0.28372, 0.295461, 1012.66, 364.828
-0.0822659, -0.0743801, 1.03497, -0.0703594, 0.00184571, 0.27324, 0.282159, 1132.6, 599.628
-0.0831001, -0.0745396, 0.983671, -0.054369, 0.00143212, 0.272981, 0.278346, 961.531, 809.002
