Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0,0,0,2.5,1,0,0,0,0,0,0,0,0,-0.921923,8.76984e-17,1.23077e-08,0
0.0005,-3.87332e-13,-1.81241e-06,2.5,1,-7.00293e-07,-3.66904e-11,-8.54666e-08,-8.04431e-09,-0.00759259,-2.00462e-06,0,0,-1.61336,-9.14091e-16,2.15385e-08,0
0.001,-1.92738e-11,-7.60418e-06,2.5,1,-3.0324e-06,-3.71634e-10,-4.82717e-07,-7.50483e-08,-0.0155735,-5.33054e-06,0,0,-2.13195,1.43001e-15,2.84615e-08,0
0.0015,-8.69624e-11,-1.73849e-05,2.5,1,-6.99597e-06,-1.35203e-09,-1.19784e-06,-2.04876e-07,-0.0235483,-9.59507e-06,0,0,-2.52088,9.26445e-15,3.36538e-08,0
0.002,-1.37895e-10,-3.10252e-05,2.5,1,-1.22851e-05,-3.53176e-09,-2.23846e-06,9.42568e-08,-0.0309052,-1.70849e-05,0,0,-2.81258,2.84954e-14,3.75481e-08,0
0.0025,3.29522e-11,-4.82817e-05,2.5,1,-1.82985e-05,-7.55224e-09,-3.58576e-06,6.02107e-07,-0.0381194,-2.60722e-05,0,0,-3.03136,6.59042e-14,4.04687e-08,0
0.003,4.7734e-10,-6.91431e-05,2.5,1,-2.48672e-05,-1.32454e-08,-5.10084e-06,1.18081e-06,-0.0453247,-3.57982e-05,0,0,-3.19544,1.13989e-13,4.26592e-08,0
0.0035,1.22636e-09,-9.3605e-05,2.5,1,-3.19802e-05,-2.07071e-08,-6.76608e-06,1.82336e-06,-0.0525213,-4.6126e-05,0,0,-3.31851,1.70479e-13,4.43021e-08,0
0.004,2.30956e-09,-0.000121663,2.5,1,-3.96547e-05,-2.99936e-08,-8.56741e-06,2.51371e-06,-0.0597083,-5.69759e-05,0,0,-3.4108,2.33323e-13,4.55343e-08,0
0.0045,3.7425e-09,-0.000153312,2.5,1,-4.7815e-05,-4.08736e-08,-1.04245e-05,3.21683e-06,-0.0668856,-6.82337e-05,0,0,-3.48002,2.9586e-13,4.64584e-08,0
0.005,5.53272e-09,-0.000188547,2.5,1,-5.64462e-05,-5.34693e-08,-1.2347e-05,3.94811e-06,-0.0740532,-7.98439e-05,0,0,-3.53194,3.58348e-13,4.71515e-08,0
0.0055,7.69252e-09,-0.000227363,2.5,1,-6.55376e-05,-6.76081e-08,-1.42939e-05,4.69278e-06,-0.0812109,-9.1752e-05,0,0,-3.57088,4.16547e-13,4.76713e-08,0
0.006,1.02175e-08,-0.000269756,2.5,1,-7.51751e-05,-8.20651e-08,-1.60889e-05,5.38841e-06,-0.0883579,-0.000103963,0,0,-3.60008,4.52185e-13,4.80612e-08,0
0.0065,1.29991e-08,-0.000315933,2.5,1,-8.488e-05,-9.49815e-08,-1.73401e-05,5.60827e-06,-0.0967618,-0.000113748,0,0,-3.62198,4.3348e-13,4.83536e-08,0
0.007,1.58069e-08,-0.000366673,2.5,1,-9.3192e-05,-1.05015e-07,-1.74878e-05,5.63651e-06,-0.106666,-0.000120824,0,0,-3.63841,3.2796e-13,4.85729e-08,0
0.0075,1.87182e-08,-0.000422729,2.5,1,-9.83126e-05,-1.11256e-07,-1.61484e-05,6.10176e-06,-0.117554,-0.000127239,0,0,-3.65073,1.23072e-13,4.87373e-08,0
0.008,2.19965e-08,-0.000484224,2.5,1,-9.9967e-05,-1.13231e-07,-1.33597e-05,7.0917e-06,-0.128423,-0.000134967,0,0,-3.65997,-1.73841e-13,4.88607e-08,0
0.0085,2.5883e-08,-0.000551149,2.5,1,-9.83071e-05,-1.10851e-07,-9.42243e-06,8.51272e-06,-0.139273,-0.000143938,0,0,-3.6669,-5.35148e-13,4.89532e-08,0
0.009,3.05274e-08,-0.000623494,2.5,1,-9.30572e-05,-1.02704e-07,-5.18641e-06,1.00592e-05,-0.150103,-0.00015427,0,0,-3.6721,-8.73459e-13,4.90226e-08,0
0.0095,3.59248e-08,-0.000701248,2.5,1,-8.39546e-05,-8.77444e-08,-1.20794e-06,1.15018e-05,-0.160911,-0.000166003,0,0,-3.676,-1.12941e-12,4.90746e-08,0
0.01,4.19885e-08,-0.000784402,2.5,1,-7.15746e-05,-6.56239e-08,2.15741e-06,1.2717e-05,-0.171699,-0.00017891,0,0,-3.67892,-1.27677e-12,4.91137e-08,0
0.0105,4.85948e-08,-0.000872944,2.5,1,-5.61562e-05,-3.68435e-08,4.82294e-06,1.36578e-05,-0.182464,-0.000192918,0,0,-3.68111,-1.30989e-12,4.91429e-08,0
0.011,5.56028e-08,-0.000966862,2.5,1,-3.77244e-05,-1.36435e-09,6.74895e-06,1.43354e-05,-0.193207,-0.000208012,0,0,-3.68276,-1.22511e-12,4.91649e-08,0
