x,y,z,v_x,v_y,v_z,|U|,rho,pressure
-0.499383, -0.273157, 0.0498058, -0.000514987, 0.00327241, -0.00168658, 0.00371731, 1000.83, 14828.9
-0.4984, -0.275496, 0.0988716, 0.00273682, -0.00302101, -0.00224584, 0.00465409, 1000.52, 14214.9
-0.498946, -0.27501, 0.148579, 0.000119834, 0.000719337, -0.00116564, 0.00137497, 1001.02, 13779.9
-0.498853, -0.275037, 0.198296, 0.00104695, -0.000184864, -0.00190956, 0.00218556, 1000.58, 13249.5
-0.498886, -0.275077, 0.248002, 0.000926941, -0.000183517, -0.00218918, 0.00238441, 1000.88, 12801
-0.49894, -0.275034, 0.297794, 0.00108123, 6.37897e-05, -0.00280277, 0.00300477, 1000.67, 12299.1
-0.498985, -0.275068, 0.347671, 0.00104763, -4.05004e-05, -0.00403399, 0.004168, 1000.76, 11825.5
-0.49905, -0.27506, 0.397658, 0.00104854, 0.000114998, -0.00424344, 0.00437258, 1000.65, 11334.4
-0.499147, -0.275088, 0.447799, 0.00117285, 2.40969e-05, -0.0057815, 0.00589931, 1000.7, 10852.1
-0.499222, -0.275137, 0.498133, 0.00149371, 0.000117343, -0.0071864, 0.00734093, 1000.48, 10338.8
-0.499403, -0.275157, 0.54874, 0.00126733, 5.52369e-05, -0.00868471, 0.00877686, 1000.63, 9860.51
-0.499494, -0.275264, 0.599632, 0.00204524, -0.000157053, -0.0103228, 0.0105246, 1000.34, 9333.49
-0.499811, -0.275249, 0.650943, 0.0021847, -0.000238786, -0.0137942, 0.0139681, 1000.45, 8845.22
-0.500015, -0.275389, 0.702714, 0.00212377, 0.000183005, -0.015715, 0.0158589, 1000.23, 8316.38
-0.500515, -0.275345, 0.755083, 0.00131078, -0.00235486, -0.0175894, 0.0177947, 1000.3, 7819.48
-0.501047, -0.275589, 0.808234, 0.000623391, -0.000636973, -0.0148876, 0.0149143, 999.844, 7271.86
-0.502162, -0.275494, 0.862732, -0.0036962, -0.0126569, 0.00216087, 0.0133614, 1000.92, 6876.77
-0.50322, -0.27747, 0.918706, -0.00701035, -0.00106958, 0.0318282, 0.0326086, 999.201, 6121.53
-0.504254, -0.278501, 0.98126, -0.00275806, 0.0161459, 0.0679373, 0.069884, 1001.68, 5801.88
-0.483264, -0.262175, 1.02561, -0.0774821, -0.0976619, 0.160414, 0.20316, 999.065, 5018.33
-0.471842, -0.251173, 1.03664, -0.0717917, -0.091979, 0.168228, 0.204731, 997.769, 4777.87
-0.499193, -0.221895, 0.0500379, 0.000582705, 0.00529182, -0.000713531, 0.00537141, 1001.15, 14877
-0.498731, -0.225887, 0.0993829, 0.0019367, -0.00592217, -0.00168389, 0.00645433, 999.814, 14133.3
-0.498882, -0.225279, 0.148818, 0.00129006, 0.000351042, -0.00143779, 0.00196335, 1001.02, 13771.1
