x,y,z,v_x,v_y,v_z,|U|,rho,pressure
0.000102397, -0.12505, 3.31338, 0.022622, 1.29778e-05, -3.32378, 3.32386, 1000, 1e-20
0.0251024, -0.12505, 3.3134, 0.0226203, -2.00781e-06, -3.32068, 3.32075, 1000, 1e-20
-0.0124078, -0.125049, 3.33503, 0.0199346, 0.000637859, -3.32533, 3.32539, 1000, 1e-20
-0.0123888, -0.125051, 3.29173, 0.0253107, -0.000596851, -3.32533, 3.32543, 1000, 1e-20
0.0751024, -0.12505, 3.31342, 0.022617, -3.1979e-05, -3.31447, 3.31455, 1000, 1e-20
0.0575311, -0.125048, 3.36162, 0.0166327, 0.00135318, -3.31665, 3.31669, 1000, 1e-20
0.0130899, -0.125046, 3.38725, 0.0134507, 0.00211129, -3.32217, 3.3222, 1000, 1e-20
-0.037428, -0.125047, 3.37832, 0.0145598, 0.00188762, -3.32844, 3.32847, 1000, 1e-20
-0.070386, -0.125049, 3.339, 0.019441, 0.000786839, -3.33253, 3.33259, 1000, 1e-20
-0.0703636, -0.125051, 3.2877, 0.0258106, -0.00067602, -3.33253, 3.33263, 1000, 1e-20
-0.0373712, -0.125053, 3.24842, 0.0306882, -0.00181651, -3.32843, 3.32858, 1000, 1e-20
0.0131545, -0.125054, 3.23953, 0.0317918, -0.00210101, -3.32216, 3.32231, 1000, 1e-20
0.0575734, -0.125052, 3.26519, 0.0286049, -0.00139641, -3.31665, 3.31677, 1000, 1e-20
0.000102441, -0.0750499, 3.31338, 0.022653, 1.29044e-05, -3.32521, 3.32528, 1000, 1e-20
0.0251024, -0.07505, 3.31339, 0.0226514, -2.08115e-06, -3.3221, 3.32218, 1000, 1e-20
-0.0124077, -0.0750488, 3.33503, 0.0199656, 0.000637785, -3.32676, 3.32682, 1000, 1e-20
-0.0123887, -0.075051, 3.29172, 0.0253418, -0.000596924, -3.32676, 3.32685, 1000, 1e-20
0.0751024, -0.07505, 3.31342, 0.0226481, -3.20523e-05, -3.31589, 3.31597, 1000, 1e-20
0.0575312, -0.0750475, 3.36162, 0.0166638, 0.00135311, -3.31808, 3.31812, 1000, 1e-20
0.0130899, -0.0750462, 3.38725, 0.0134818, 0.00211121, -3.32359, 3.32362, 1000, 1e-20
-0.037428, -0.0750466, 3.37831, 0.0145908, 0.00188755, -3.32987, 3.3299, 1000, 1e-20
-0.070386, -0.0750486, 3.339, 0.0194721, 0.000786766, -3.33396, 3.33402, 1000, 1e-20
-0.0703635, -0.0750512, 3.2877, 0.0258416, -0.000676093, -3.33396, 3.33406, 1000, 1e-20
-0.0373711, -0.0750532, 3.24841, 0.0307193, -0.00181658, -3.32986, 3.33, 1000, 1e-20
0.0131546, -0.0750538, 3.23952, 0.0318228, -0.00210108, -3.32359, 3.32374, 1000, 1e-20
0.0575734, -0.0750525, 3.26519, 0.028636, -0.00139648, -3.31807, 3.3182, 1000, 1e-20
0.000102485, -0.0250499, 3.31338, 0.0226841, 1.28311e-05, -3.32663, 3.32671, 1000, 1e-20
0.0251025, -0.02505, 3.31339, 0.0226824, -2.15449e-06, -3.32353, 3.32361, 1000, 1e-20
-0.0124077, -0.0250488, 3.33502, 0.0199967, 0.000637712, -3.32819, 3.32825, 1000, 1e-20
-0.0123887, -0.025051, 3.29172, 0.0253728, -0.000596997, -3.32818, 3.32828, 1000, 1e-20
0.0751025, -0.02505, 3.31342, 0.0226791, -3.21256e-05, -3.31732, 3.3174, 1000, 1e-20
0.0575312, -0.0250475, 3.36162, 0.0166948, 0.00135304, -3.3195, 3.31954, 1000, 1e-20
0.01309, -0.0250462, 3.38724, 0.0135128, 0.00211114, -3.32502, 3.32505, 1000, 1e-20
-0.037428, -0.0250466, 3.37831, 0.0146219, 0.00188747, -3.33129, 3.33133, 1000, 1e-20
-0.070386, -0.0250486, 3.339, 0.0195031, 0.000786693, -3.33538, 3.33544, 1000, 1e-20
-0.0703635, -0.0250512, 3.2877, 0.0258727, -0.000676167, -3.33538, 3.33548, 1000, 1e-20
-0.0373711, -0.0250532, 3.24841, 0.0307503, -0.00181665, -3.33129, 3.33143, 1000, 1e-20
