x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
0.0235644, -0.154295, 0.665169, 0.05, 0.00401422, -0.0107125, 0.055529, 0.0566951, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0704218, -0.138863, 0.657031, 0.05, 0.00191573, -0.010229, 0.0443628, 0.0455671, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0511124, -0.136929, 0.70311, 0.05, 0.00650406, 0.00712379, 0.0455574, 0.0465675, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.00425644, -0.152361, 0.71125, 0.05, 0.00860268, 0.0066412, 0.0567231, 0.0577548, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0232926, -0.169727, 0.673311, 0.05, 0.0061131, -0.0111942, 0.0666947, 0.0679033, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.00398711, -0.171662, 0.627231, 0.05, 0.00152475, -0.0285479, 0.0655012, 0.0714683, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0428684, -0.156231, 0.619086, 0.05, -0.000574255, -0.0280672, 0.054336, 0.0611596, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.126651, -0.120344, 0.647266, 0.05, -0.000602462, -0.00964875, 0.0309634, 0.0324375, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.119705, -0.112841, 0.698912, 0.05, 0.00410443, 0.0110005, 0.0285966, 0.0309132, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0907359, -0.114835, 0.742828, 0.05, 0.00879065, 0.0266759, 0.0323994, 0.0428789, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0463795, -0.125867, 0.768954, 0.05, 0.0123827, 0.0337865, 0.0415006, 0.0549287, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.00320326, -0.143412, 0.771306, 0.05, 0.0140578, 0.0307035, 0.0538153, 0.0635328, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0466542, -0.16345, 0.749345, 0.05, 0.0134321, 0.0181332, 0.0665226, 0.0702459, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0740199, -0.181391, 0.708101, 0.05, 0.010649, -0.00104498, 0.0767115, 0.0774542, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0790314, -0.193125, 0.657022, 0.05, 0.00634611, -0.0224378, 0.082048, 0.0852972, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0605409, -0.195964, 0.60781, 0.05, 0.001509, -0.0411446, 0.0813097, 0.0911396, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0227839, -0.189257, 0.571737, 0.05, -0.00275423, -0.0528802, 0.0746657, 0.0915361, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0255902, -0.174542, 0.557067, 0.05, -0.00546697, -0.0549562, 0.0636379, 0.0842607, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0735003, -0.155189, 0.567161, 0.05, -0.00600781, -0.0468972, 0.0507526, 0.0693633, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.109971, -0.135631, 0.599705, 0.05, -0.00425286, -0.0305491, 0.0389614, 0.0496923, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.00677165, -0.108042, 0.656191, 0.05, -0.000687811, -0.0157721, 0.0382572, 0.0413865, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0536291, -0.0926091, 0.648053, 0.05, -0.0027863, -0.0152885, 0.027091, 0.0312318, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0343196, -0.0906757, 0.694132, 0.05, 0.00180202, 0.00206424, 0.0282857, 0.0284181, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0125363, -0.106107, 0.702272, 0.05, 0.00390065, 0.00158166, 0.0394513, 0.0396752, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0400853, -0.123473, 0.664334, 0.05, 0.00141106, -0.0162537, 0.0494229, 0.0520461, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
-0.0207799, -0.125408, 0.618253, 0.05, -0.00317728, -0.0336075, 0.0482294, 0.0588696, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0260756, -0.109978, 0.610109, 0.05, -0.00527629, -0.0331268, 0.0370642, 0.0499898, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.109858, -0.0740902, 0.638288, 0.05, -0.0053045, -0.0147083, 0.0136916, 0.020783, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.102912, -0.0665876, 0.689934, 0.05, -0.000597609, 0.00594099, 0.0113249, 0.0128025, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
0.0739431, -0.0685809, 0.73385, 0.05, 0.00408862, 0.0216164, 0.0151276, 0.0266989, 1000, 1e-20, 10, 2e-20, 3e-20, 2e-20, 2e-20, 1
