Time,x,y,z,q0,q1,q2,q3,Vx,Vy,Vz,Fx,Fy,Fz,Tx,Ty,Tz
0,1,0,2.3,1,0,0,0,0,0,0,-0.189582,2.08377e-06,-1.60696,0.00784734,-0.0103112,-0.000914929
0.0001,1,9.55129e-16,2.3,1,1.18256e-10,-1.18158e-10,-1.37876e-11,-1.68968e-06,1.85719e-11,-0.000701022,0.00338303,-1.41374e-05,0.0275288,-0.000215984,0.000200885,2.62744e-05
0.0002,1,-1.80919e-15,2.3,1,4.15236e-10,-4.15652e-10,-4.83996e-11,-2.72767e-06,-7.05539e-11,-0.00169083,-0.000755293,-3.81058e-05,-0.00716662,1.12799e-05,4.35097e-05,-5.23217e-07
0.0003,1,-2.6076e-14,2.3,1,7.92322e-10,-7.93854e-10,-9.23209e-11,-2.86151e-06,-4.09074e-10,-0.00267297,-0.00235994,-5.98797e-05,-0.0203963,8.4182e-05,2.57699e-05,-9.09867e-06
0.0004,1,-9.83699e-14,2.3,1,1.17912e-09,-1.18026e-09,-1.37341e-10,-2.87939e-06,-1.03115e-09,-0.00365413,-0.00316237,-8.10241e-05,-0.0268215,0.000108696,5.19353e-05,-1.19694e-05
0.0005,1,-2.46591e-13,2.3,1,1.56866e-09,-1.5653e-09,-1.82649e-10,-2.91394e-06,-1.92785e-09,-0.00463543,-0.00397609,-0.00010189,-0.0333347,0.000134369,7.66533e-05,-1.49853e-05
0.0006,1,-4.97869e-13,2.3,1,1.96269e-09,-1.94865e-09,-2.28451e-10,-2.9594e-06,-3.09237e-09,-0.00561681,-0.00477632,-0.000122383,-0.0397265,0.000159586,0.000101005,-1.79559e-05
0.0007,1,-8.78755e-13,2.3,1,2.36235e-09,-2.32957e-09,-2.74881e-10,-3.01512e-06,-4.52011e-09,-0.00659828,-0.0055564,-0.000142428,-0.0459416,0.000184002,0.000125065,-2.08404e-05
0.0008,1,-1.41531e-12,2.3,1,2.76868e-09,-2.70727e-09,-3.22062e-10,-3.0809e-06,-6.20586e-09,-0.00757982,-0.00631308,-0.000161954,-0.0519535,0.000207504,0.000148728,-2.36258e-05
0.0009,1,-2.13303e-12,2.3,1,3.1827e-09,-3.081e-09,-3.70114e-10,-3.15645e-06,-8.14346e-09,-0.00856145,-0.00704309,-0.000180893,-0.0577356,0.000229972,0.000171899,-2.62983e-05
0.001,1,-3.05673e-12,2.3,1,3.60539e-09,-3.45e-09,-4.19153e-10,-3.24147e-06,-1.03259e-08,-0.00954314,-0.00774328,-0.000199178,-0.0632624,0.000251295,0.000194483,-2.88447e-05
0.0011,1,-4.21052e-12,2.29999,1,4.03769e-09,-3.81353e-09,-4.69292e-10,-3.33559e-06,-1.27452e-08,-0.0105249,-0.00841067,-0.000216747,-0.0685096,0.000271364,0.00021639,-3.12525e-05
0.0012,1,-5.61765e-12,2.29999,1,4.4805e-09,-4.17087e-09,-5.20636e-10,-3.43841e-06,-1.53928e-08,-0.0115068,-0.00904244,-0.00023354,-0.0734544,0.000290081,0.000237533,-3.35101e-05
0.0013,1,-7.30045e-12,2.29999,1,4.93465e-09,-4.52134e-09,-5.73287e-10,-3.5495e-06,-1.8259e-08,-0.0124887,-0.00963594,-0.000249499,-0.0780757,0.000307353,0.000257826,-3.56065e-05
0.0014,1,-9.28029e-12,2.29999,1,5.40093e-09,-4.86425e-09,-6.27338e-10,-3.66839e-06,-2.13337e-08,-0.0134706,-0.0101887,-0.000264572,-0.0823539,0.000323097,0.00027719,-3.75318e-05
0.0015,1,-1.15775e-11,2.29999,1,5.88005e-09,-5.19896e-09,-6.82878e-10,-3.79457e-06,-2.46059e-08,-0.0144526,-0.0106986,-0.000278709,-0.0862712,0.000337237,0.000295548,-3.92771e-05
0.0016,1,-1.42111e-11,2.29999,1,6.37267e-09,-5.52486e-09,-7.39987e-10,-3.92752e-06,-2.8064e-08,-0.0154347,-0.0111634,-0.000291865,-0.0898115,0.000349707,0.000312829,-4.08344e-05
0.0017,1,-1.71993e-11,2.29999,1,6.87939e-09,-5.84137e-09,-7.98737e-10,-4.06667e-06,-3.16958e-08,-0.0164168,-0.0115815,-0.000303998,-0.0929609,0.000360449,0.000328965,-4.21967e-05
0.0018,1,-2.05586e-11,2.29998,1,7.40073e-09,-6.14792e-09,-8.59194e-10,-4.21142e-06,-3.5488e-08,-0.017399,-0.0119513,-0.000315071,-0.0957075,0.000369418,0.000343894,-4.33585e-05
0.0019,1,-2.43046e-11,2.29998,1,7.93713e-09,-6.44402e-09,-9.21414e-10,-4.36118e-06,-3.94277e-08,-0.0183812,-0.0122714,-0.000325051,-0.0980405,0.000376573,0.000357561,-4.43144e-05
0.002,1,-2.84512e-11,2.29998,1,8.48896e-09,-6.72919e-09,-9.85446e-10,-4.51533e-06,-4.35015e-08,-0.0193634,-0.0125407,-0.000333909,-0.0999523,0.000381887,0.000369914,-4.50611e-05
0.0021,1,-3.30111e-11,2.29998,1,9.05654e-09,-7.00299e-09,-1.05133e-09,-4.67323e-06,-4.76953e-08,-0.0203457,-0.0127585,-0.000341623,-0.101437,0.000385343,0.000380908,-4.55962e-05
0.0022,1,-3.79957e-11,2.29998,1,9.64007e-09,-7.26503e-09,-1.1191e-09,-4.83424e-06,-5.19945e-08,-0.021328,-0.0129241,-0.000348174,-0.102491,0.000386934,0.000390504,-4.59183e-05
0.0023,1,-4.34148e-11,2.29997,1,1.02397e-08,-7.51497e-09,-1.18877e-09,-4.99769e-06,-5.63847e-08,-0.0223103,-0.0130373,-0.000353546,-0.103112,0.000386663,0.000398668,-4.60273e-05
0.0024,1,-4.92766e-11,2.29997,1,1.08555e-08,-7.75248e-09,-1.26036e-09,-5.16292e-06,-6.08508e-08,-0.0232926,-0.0130979,-0.00035773,-0.103301,0.000384541,0.000405373,-4.59241e-05
0.0025,1,-5.55881e-11,2.29997,1,1.14875e-08,-7.97733e-09,-1.33388e-09,-5.32926e-06,-6.53777e-08,-0.0242749,-0.0131062,-0.000360723,-0.103061,0.000380593,0.0004106,-4.5611e-05
0.0026,1,-6.23545e-11,2.29997,1,1.21355e-08,-8.18928e-09,-1.40932e-09,-5.49604e-06,-6.99505e-08,-0.0252572,-0.0130626,-0.000362523,-0.102396,0.000374851,0.000414335,-4.50912e-05
0.0027,1,-6.95798e-11,2.29996,1,1.27995e-08,-8.38819e-09,-1.48666e-09,-5.6626e-06,-7.45538e-08,-0.0262395,-0.0129677,-0.000363135,-0.101312,0.000367357,0.000416569,-4.43689e-05
0.0028,1,-7.72661e-11,2.29996,1,1.34791e-08,-8.57392e-09,-1.56589e-09,-5.82827e-06,-7.91725e-08,-0.0272218,-0.0128226,-0.000362569,-0.0998188,0.000358162,0.000417302,-4.34497e-05
0.0029,1,-8.54143e-11,2.29996,1,1.41741e-08,-8.7464e-09,-1.64697e-09,-5.99243e-06,-8.37916e-08,-0.0282041,-0.0126283,-0.000360839,-0.0979267,0.000347327,0.000416539,-4.234e-05
0.003,1,-9.40237e-11,2.29996,1,1.4884e-08,-8.90562e-09,-1.72987e-09,-6.15442e-06,-8.83961e-08,-0.0291864,-0.0123862,-0.000357963,-0.0956481,0.000334922,0.000414293,-4.10472e-05
0.0031,1,-1.03092e-10,2.29995,1,1.56085e-08,-9.05159e-09,-1.81454e-09,-6.31364e-06,-9.29714e-08,-0.0301686,-0.012098,-0.000353964,-0.0929974,0.000321023,0.000410582,-3.95797e-05
0.0032,1,-1.12616e-10,2.29995,1,1.6347e-08,-9.1844e-09,-1.90092e-09,-6.46949e-06,-9.75029e-08,-0.0311508,-0.0117655,-0.000348868,-0.0899905,0.000305714,0.00040543,-3.79467e-05
0.0033,1,-1.2259e-10,2.29995,1,1.70989e-08,-9.30414e-09,-1.98896e-09,-6.6214e-06,-1.01977e-07,-0.0321329,-0.0113907,-0.000342708,-0.086645,0.000289089,0.000398869,-3.61583e-05
0.0034,1,-1.33007e-10,2.29994,1,1.78635e-08,-9.411e-09,-2.07859e-09,-6.7688e-06,-1.06379e-07,-0.0331151,-0.0109757,-0.000335517,-0.0829799,0.000271245,0.000390934,-3.42253e-05
0.0035,1,-1.43861e-10,2.29994,1,1.86403e-08,-9.50517e-09,-2.16973e-09,-6.91118e-06,-1.10696e-07,-0.0340972,-0.010523,-0.000327336,-0.0790159,0.000252287,0.00038167,-3.21594e-05
