x,y,z,h,v_x,v_y,v_z,|U|,rho(rpx),p(rpy),mu(rpz),sr,tau,I,mu_i,type(rpw)
-0.503471, -0.267782, 0.0518465, 0.05, 0.0711716, -0.0977519, 0.0243939, 0.123353, 1006.2, 9912.82, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501419, -0.271469, 0.110643, 0.05, 0.111699, -0.0105617, -0.0141613, 0.113088, 1008.7, 13927.7, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499735, -0.269675, 0.198392, 0.05, 0.0751458, -0.041531, -0.000950014, 0.0858639, 1009.09, 14542.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500887, -0.275648, 0.249109, 0.05, 0.0914136, 0.0634434, 0.0115667, 0.111872, 1005.12, 8190.07, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500239, -0.27415, 0.296672, 0.05, -0.0179742, 0.00677763, 0.0657843, 0.0685316, 1004.3, 6875.98, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499765, -0.275345, 0.343393, 0.05, 0.0247687, -0.000931844, -0.0431899, 0.0497968, 1005.47, 8756.91, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499403, -0.274659, 0.389651, 0.05, -0.00101769, 0.00501356, 0.0214997, 0.0220999, 1003.2, 5122.66, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498539, -0.275346, 0.435931, 0.05, -0.0544019, -0.00675343, -0.103155, 0.116817, 1002.43, 3892.2, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499331, -0.274891, 0.481897, 0.05, 0.00454997, 0.0110948, -0.108709, 0.109368, 1002.11, 3377.48, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498459, -0.276165, 0.528794, 0.05, 0.0409816, 0.0129696, -0.0954286, 0.104663, 1001.89, 3029.03, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499335, -0.274561, 0.576334, 0.05, 0.0320433, 0.0363422, -0.0857344, 0.0984779, 1002.65, 4247.42, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499902, -0.275052, 0.625322, 0.05, 0.0398566, 0.0501917, -0.0471573, 0.0795711, 1002.27, 3632, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499232, -0.275356, 0.673836, 0.05, 0.00713823, 0.017966, -0.0540734, 0.0574253, 1002.29, 3661.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500214, -0.272941, 0.720922, 0.05, -0.00111003, -0.0158411, 0.032827, 0.0364663, 1002.4, 3836.06, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500185, -0.276072, 0.767804, 0.05, 0.00923921, 0.00595269, -0.0222829, 0.0248461, 1002.43, 3884.02, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500368, -0.272663, 0.814314, 0.05, 0.0305753, 0.0194267, 0.0553815, 0.0661768, 1003.92, 6269.73, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499557, -0.276407, 0.861671, 0.05, -0.0191383, -0.028704, 0.00384206, 0.0347125, 1002.95, 4717.13, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500839, -0.273815, 0.909918, 0.05, -0.0190779, -0.0334308, 0.0167857, 0.0419922, 1001.38, 2206.51, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49974, -0.277198, 0.960258, 0.05, -0.0337555, -0.0523725, -0.029863, 0.069095, 1000.93, 1487.11, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501762, -0.27444, 1.00936, 0.05, 0.0348524, -0.0266242, -0.0405278, 0.0597164, 1001.5, 2392.86, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500782, -0.271946, 1.06204, 0.05, 0.00692451, 0.0171441, -0.0651401, 0.0677134, 999.41, -943.908, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498469, -0.219044, 0.0483429, 0.05, -0.00305882, 0.0299481, 0.00376218, 0.0303381, 1009.62, 15399.6, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.501147, -0.230369, 0.157291, 0.05, 0.0759567, -0.0199286, 0.0316043, 0.0846487, 1006.53, 10447.8, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.504442, -0.217191, 0.225194, 0.05, 0.05363, -0.0209438, 0.00625773, 0.0579136, 1006.98, 11168.4, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499682, -0.224478, 0.27324, 0.05, -0.0189492, -0.0178992, 0.0346945, 0.0433954, 1005.35, 8553.92, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.50055, -0.222126, 0.321866, 0.05, -0.053927, -0.0547799, -0.00866301, 0.0773564, 1005.13, 8211.11, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499725, -0.223988, 0.368743, 0.05, -0.0219646, -0.0537599, 0.00238237, 0.0581227, 1005.02, 8037.79, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499435, -0.22411, 0.415512, 0.05, -0.033307, -0.0485925, -0.0216964, 0.0627799, 1004.16, 6653.95, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498689, -0.225169, 0.460951, 0.05, -0.0393656, 0.0216167, -0.0997649, 0.109407, 1002.82, 4506.38, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.497917, -0.225928, 0.506814, 0.05, -0.0252486, 0.00720785, -0.101432, 0.104775, 1001.38, 2209.91, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498544, -0.226421, 0.552345, 0.05, 0.0241595, 0.0211127, -0.0647849, 0.0722946, 1001.11, 1768.95, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.49887, -0.226974, 0.600455, 0.05, 0.0537006, 0.00733321, -0.0898241, 0.104909, 1000.72, 1147.59, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498307, -0.22606, 0.649607, 0.05, 0.0297913, -0.00425019, -0.0645618, 0.0712307, 1000.5, 794.119, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499971, -0.223065, 0.695679, 0.05, 0.0499552, 0.0403515, -0.0716826, 0.0962402, 1002.37, 3795.52, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499001, -0.222436, 0.743103, 0.05, -0.0167095, 0.0218854, 0.0248299, 0.037077, 1002.27, 3629.73, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499393, -0.222295, 0.787848, 0.05, -0.022216, 0.0199883, 0.00913024, 0.0312481, 1003.66, 5861.74, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498454, -0.221826, 0.834974, 0.05, -0.00762582, -0.00968103, -0.0314169, 0.0337475, 1002.55, 4077.86, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499341, -0.224164, 0.87965, 0.05, -0.00857817, 0.00342617, -0.0132829, 0.016179, 1004.7, 7524.68, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498534, -0.219346, 0.924504, 0.05, -0.00722071, 0.00217487, -0.0228592, 0.0240709, 1000.98, 1560.1, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.483955, -0.235161, 0.963927, 0.05, -0.0133815, -0.0359183, -0.0446517, 0.0588469, 999.967, -52.2227, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.503083, -0.22302, 1.00678, 0.05, -0.00973226, -0.0165253, 0.00411067, 0.0196137, 1001.28, 2050.32, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.497753, -0.22664, 1.06326, 0.05, -0.0177511, 0.000786927, -0.0984791, 0.100069, 999.504, -793.019, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.503312, -0.171819, 0.0626082, 0.05, -0.0599239, -0.00148632, 0.0551079, 0.0814246, 1008.11, 12978, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.502348, -0.212747, 0.10506, 0.05, -0.0256326, 0.00973566, 0.00771846, 0.0284849, 1007.27, 11637.7, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.497175, -0.166111, 0.203171, 0.05, -0.0536839, 0.0466394, 0.0318388, 0.077916, 1005.95, 9512.87, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.500124, -0.167425, 0.25171, 0.05, 0.00382213, 0.0156672, -0.00244504, 0.016311, 1005.32, 8509.63, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.498636, -0.171771, 0.296551, 0.05, 0.00741289, -0.00766003, -0.0178881, 0.0208233, 1005.65, 9041.47, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499868, -0.172454, 0.345805, 0.05, 0.0189031, -0.00103279, -0.0102343, 0.0215206, 1005.03, 8051.79, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499274, -0.173451, 0.392803, 0.05, 0.0532665, -0.0263991, -0.0255533, 0.0647086, 1005.47, 8752.77, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.499051, -0.173939, 0.440175, 0.05, 0.0132777, -0.0675813, -0.0082721, 0.0693683, 1000.99, 1583.52, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
-0.497153, -0.17562, 0.485327, 0.05, 0.0156366, -0.0535855, -0.108527, 0.122041, 1001.73, 2760.47, 10, 2e-20, 3e-20, 2e-20, 2e-20, -1
