x,y,z,absv,wx,wy,wz
71.349,-95.696,-18.8122,19.0236,-16.3207,11.9736,-3.47342
71.2644,-95.5535,-48.7125,22.1124,-25.6525,6.91542,-12.4634
71.2987,-99.0999,-25.6093,14.769,2.43276,-6.26674,-6.32751
71.3382,-97.1426,-34.6288,18.686,62.8693,69.601,17.4064
71.3801,-95.6565,-36.0958,19.1788,21.5617,28.1459,24.2862
71.2052,-99.0541,-49.0323,14.5043,-12.9038,16.729,44.5731
71.8081,-97.6736,-31.8582,25.451,-7.27863,0.794674,-27.9813
71.2256,-99.0999,-44.1366,12.2468,-16.7389,-25.2546,-29.4057
71.3312,-97.4097,-20.8096,17.2322,7.87751,-12.7973,-22.2638
71.2459,-97.9019,-40.8331,16.4933,-3.9008,10.4632,22.9044
71.3057,-98.7012,-33.4625,22.616,38.8231,38.7391,9.49361
71.6103,-99.1177,-23.6978,20.522,-13.0258,7.4206,34.8605
71.3254,-94.2748,-30.1355,10.8833,-31.0158,-43.9609,15.4581
71.1709,-97.1757,-47.5825,36.2834,43.3348,-10.8955,6.23818
71.3165,-92.383,-30.4967,23.2612,6.72449,7.1077,11.0577
72.821,-96.9652,-14.5861,13.3176,4.72203,-24.4818,1.42203
71.3458,-94.765,-13.9953,27.0494,-2.04533,-0.0824702,-1.19894
71.3801,-99.0217,-3.61059,18.1942,43.747,-1.24743,-1.95041
72.3518,-95.8352,-12.7636,20.0507,13.5559,-3.27264,2.43426
71.349,-96.1036,-15.4331,20.084,8.61559,29.4633,-0.944002
71.3604,-99.0935,-11.7424,20.8603,-1.09112,-8.14476,11.3158
71.396,-97.4002,-24.4265,22.0864,-8.27631,-2.8963,-17.9568
71.4176,-98.9664,-8.27677,22.9241,-3.36425,-5.8023,14.7956
71.4304,-93.981,-24.1238,26.1461,10.4486,3.67713,-0.468434
71.3852,-94.5889,-20.4229,10.9013,-11.1845,-14.1161,-2.89824
71.3458,-95.4124,-11.1853,21.9526,-9.75643,4.75208,5.95594
71.2377,-95.6572,-43.8956,31.1209,36.8977,-33.1707,21.4231
71.354,-98.0742,-15.1768,21.239,-16.4808,14.1539,10.3674
72.0987,-99.0707,-13.5381,29.1712,2.93685,-6.26019,11.7416
71.3445,-97.3162,-13.3633,17.9541,-6.00873,-8.50351,0.888789
71.3795,-97.1999,-17.0165,18.73,-13.2437,-2.91044,2.99568
71.4482,-96.5016,4.49957,30.0284,6.5179,7.70239,13.8767
71.4577,-98.871,-0.99517,18.6902,5.05592,6.35502,0.152232
71.4297,-98.7724,2.58999,33.414,-5.81403,10.2172,-11.4957
71.424,-95.4448,0.0597732,22.3353,-2.10911,3.82964,1.74968
71.4183,-96.7274,-9.7196,23.1308,9.53093,-11.3909,13.0282
71.4221,-99.098,-6.31949,27.8494,-19.01,21.0988,0.214789
71.4418,-94.8789,2.73624,31.867,-2.86872,-4.32876,0.540476
72.2748,-93.7094,4.15746,29.9597,-8.94381,-2.36925,1.50722
72.65,-95.3634,-1.46891,17.1605,1.60795,-14.1099,-14.5904
71.9855,-97.2971,-11.4976,25.9742,-15.8824,-7.98519,-12.622
71.3401,-95.4582,-7.62752,12.7974,21.26,-18.2634,1.59351
71.8551,-95.8848,-5.76817,16.7484,-13.1592,11.04,-7.15475
71.4488,-97.6431,-5.02227,28.1571,5.21364,16.6099,-0.306115
71.4634,-91.9092,3.73777,26.7247,3.55279,8.27195,-2.85685
72.334,-94.4617,-3.18518,22.2366,4.15245,14.7091,6.25092
71.4698,-97.4676,-2.38841,26.857,-1.23316,-6.17088,-9.53285
71.2415,-90.055,-49.1055,17.6904,-8.51674,-83.908,-8.11081
71.3928,-94.7733,-37.8413,27.0304,-4.85519,2.504,-15.1933
71.1092,-84.1189,-47.3765,32.8262,-0.0162958,86.0664,-23.1873
71.3286,-85.9885,-29.0908,21.7476,-11.3731,30.4661,30.6537
71.2968,-91.8406,-49.1036,18.5614,17.0262,-2.5865,10.4753
71.3846,-86.5741,-21.3253,16.3881,10.6131,-21.2893,-12.1265
71.2924,-91.2511,-46.5663,13.1653,-27.6312,25.6887,-25.5776
71.349,-88.6388,-23.8657,16.7703,2.51433,-4.10135,-4.51223
71.3712,-90.5217,-17.0864,17.55,-11.5925,-1.22236,17.6996
71.2803,-89.854,-43.2495,17.7465,-16.7006,40.2499,-25.2512
71.3763,-88.1956,-49.1919,19.6218,-14.0729,-11.58,8.94864
71.927,-83.7069,-45.7759,33.1665,-57.3471,-72.3651,-67.4808
71.3547,-90.1249,-20.3403,14.492,-10.8471,26.9352,1.98439
71.2428,-81.8354,-45.83,24.6109,60.2557,72.3831,11.5838
71.3095,-92.8656,-37.4534,26.607,25.9805,8.83326,19.839
71.272,-87.9044,-43.1681,18.8413,-6.62096,7.28454,27.4033
71.2478,-89.6143,-40.2233,31.6369,-45.1702,22.9329,-5.28849
71.2892,-92.28,-19.885,25.2026,1.0594,-0.363828,11.2267
71.3852,-91.7261,-8.68882,25.6567,-4.0141,-10.8141,12.2452
71.3687,-88.2147,-16.7055,21.9087,4.10897,-5.52486,-14.3694
71.2949,-85.3723,-45.1763,26.3187,11.523,-15.8175,-18.4923
